id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,,,alpha-2,name,iso_country,,,,sub_div_codes,name,iso_region
29666,SWAY,small_airport,Araguaiana Airport,-15.72389984,-51.83639908,994,SA,Brazil,Mato Grosso,Araguaiana,no,SWAY,0,,,,,,,FI,Finland,BR,Brazil,,,BD-23,Jhenaidah,
29742,SWBA,small_airport,Buriti Alegre Airport,-18.12560081,-49.0428009,2848,SA,Brazil,Goi�s,Buriti Alegre,no,SWBA,0,,,,,,,FR,France,BR,Brazil,,,BD-24,Joypurhat,
29770,SWCZ,small_airport,Ceres Airport,-15.34469986,-49.60469818,1962,SA,Brazil,Goi�s,Ceres,no,SWCZ,0,,,,,,,GF,French Guiana,BR,Brazil,,,BD-25,Jhalakathi,
29969,SWIA,small_airport,Iaciara Airport,-14.10639954,-46.66939926,1854,SA,Brazil,Goi�s,Iaciara,no,SWIA,0,,,,,,,PF,French Polynesia,BR,Brazil,,,BD-26,Kishoreganj,
29746,SWKX,small_airport,Corixá Airport,-16.38360023,-58.31719971,394,SA,Brazil,Mato Grosso,Cáceres,no,SWKX,0,,,,,,,TF,French Southern Territories,BR,Brazil,,,BD-27,Khulna,
3176,HEAR,medium_airport,El Arish International Airport,31.07329941,33.83580017,121,AS,Egypt,Shamal Sina',El Arish,yes,HEAR,AAC,,,http://en.wikipedia.org/wiki/El_Arish_International_Airport,,,,GA,Gabon,EG,Egypt,,,BD-28,Kurigram,
324756,AAD,small_airport,Adado Airport,6.095802,46.6375,1001,AF,Somalia,Galguduud,Adado,no,,AAD,,,https://en.wikipedia.org/wiki/Adado_Airport,Cadaado Airport,,,GM,Gambia,SO,Somalia,,,BD-29,Khagrachhari,
2060,DABB,medium_airport,Rabah Bitat Airport,36.822201,7.809174,16,AF,Algeria,El Tarf,Annaba,yes,DABB,AAE,,,http://en.wikipedia.org/wiki/Rabah_Bitat_Airport,"Les Salines Airport, El Mellah Airport, Annabah",,,GE,Georgia,DZ,Algeria,,,BD-30,Kushtia,
19224,KAAF,small_airport,Apalachicola Regional Airport,29.72750092,-85.02749634,20,NA,United States of America,Florida,Apalachicola,no,KAAF,AAF,AAF,,http://en.wikipedia.org/wiki/Apalachicola_Municipal_Airport,,,,DE,Germany,US,United States of America,,,BD-31,Lakshmipur,
513,SSYA,small_airport,Arapoti Airport,-24.10390091,-49.78910065,2641,SA,Brazil,Paran�,Arapoti,no,SSYA,AAG,SSYA,,http://en.wikipedia.org/wiki/Arapoti_Airport,,,,GH,Ghana,BR,Brazil,,,BD-32,Lalmonirhat,
28490,EDKA,small_airport,Aachen-Merzbrück Airport,50.82305527,6.186388969,623,EU,Germany,Nordrhein-Westfalen,Aachen,no,EDKA,AAH,,,,,,,GI,Gibraltar,DE,Germany,,,BD-33,Manikganj,
38046,SWRA,small_airport,Arraias Airport,-13.025154,-46.884107,1923,SA,Brazil,Tocantins,Arraias,no,SWRA,AAI,,,https://en.wikipedia.org/wiki/Arraias_Airport,,,,GR,Greece,BR,Brazil,,,BD-34,Mymensingh,
30606,SR-AAJ,small_airport,Cayana Airstrip,3.898681,-55.577907,360,SA,Suriname,Sipaliwini,Awaradam,no,SMCA,AAJ,,,http://en.wikipedia.org/wiki/Cayana_Airstrip,"Kajana, Cajana",,,GL,Greenland,SR,Suriname,,,BD-35,Munshiganj,
30607,NGUK,small_airport,Buariki Airport,0.185277998,173.6369934,,OC,Kiribati,Gilbert Islands,Buariki,no,NGUK,AAK,,,,Tarawa,,,GD,Grenada,KI,Kiribati,,,BD-36,Madaripur,
2562,EKYT,large_airport,Aalborg Airport,57.09275891,9.849243164,10,EU,Denmark,Nordjylland,Aalborg,yes,EKYT,AAL,,http://www.aal.dk,http://en.wikipedia.org/wiki/Aalborg_Airport,,,,GP,Guadeloupe,DK,Denmark,,,AD-2,Canillo,
2808,FAMD,medium_airport,Malamala Airport,-24.81809998,31.54459953,1124,AF,South Africa,,Malamala,yes,FAMD,AAM,,,http://en.wikipedia.org/wiki/Mala_Mala_Airport,,,,GU,Guam,ZA,South Africa,,,AD-3,Encamp,
5230,OMAL,medium_airport,Al Ain International Airport,24.26169968,55.60919952,869,AS,United Arab Emirates,Abu Z�aby [Abu Dhabi],Al Ain,yes,OMAL,AAN,,,http://en.wikipedia.org/wiki/Al_Ain_International_Airport,,,,GT,Guatemala,AE,United Arab Emirates,,,AD-4,La Massana,
6251,SVAN,medium_airport,Anaco Airport,9.430225372,-64.47072601,721,SA,Venezuela (Bolivarian Republic of),Anzo�tegui,Anaco,no,SVAN,AAO,,,http://en.wikipedia.org/wiki/Anaco_Airport,,,,GG,Guernsey,VE,Venezuela (Bolivarian Republic of),,,AD-5,Ordino,
29963,KAAP,closed,Andrau Airpark,29.72249985,-95.58830261,79,NA,United States of America,Texas,Houston,no,KAAP,AAP,AAP,,http://en.wikipedia.org/wiki/Andrau_Airpark,,,,GN,Guinea,US,United States of America,,,AD-6,Sant Juli� de L�ria,
6511,URKA,medium_airport,Anapa Vityazevo Airport,45.0021019,37.34730148,174,EU,Russian Federation,Krasnodarskiy kray,Anapa,yes,URKA,AAQ,,http://basel.aero/en/anapa/,http://en.wikipedia.org/wiki/Anapa_Airport,Vityazevo Airport,,,GW,Guinea-Bissau,RU,Russian Federation,,,AD-7,Andorra la Vella,
2540,EKAH,medium_airport,Aarhus Airport,56.29999924,10.61900043,82,EU,Denmark,Midtjylland,Aarhus,yes,EKAH,AAR,,http://www.aar.dk/default.asp?id=87,http://en.wikipedia.org/wiki/Aarhus_Airport,,,,GY,Guyana,DK,Denmark,,,AD-8,Escaldes-Engordany,
41361,ID-AAS,small_airport,Apalapsili Airport,-3.8832,139.3108,3100,AS,Indonesia,Papua,Apalapsili,no,,AAS,APA,,https://en.wikipedia.org/wiki/Apalapsili_Airport,,,,HT,Haiti,ID,Indonesia,,,AE-AJ,'Ajman,
44191,CN-0113,medium_airport,Altay Air Base,47.74988556,88.0858078,2460,AS,China,Xinjiang,Altay,yes,ZWAT,AAT,,,http://en.wikipedia.org/wiki/Altay_Airport,,,,HM,Heard Island and McDonald Islands,CN,China,,,AE-AZ,Abu Z�aby [Abu Dhabi],
30608,NSAU,small_airport,Asau Airport,-13.505132,-172.627888,,OC,Samoa,Vaisigano,Asau,yes,NSAU,AAU,,,http://en.wikipedia.org/wiki/Asau_Airport,,,,VA,Holy See,WS,Samoa,,,AE-DU,Dubayy [Dubai],
5694,RPMA,medium_airport,Allah Valley Airport,6.366819859,124.7509995,659,AS,Philippines,South Cotabato,Surallah,no,RPMA,AAV,,,http://en.wikipedia.org/wiki/Allah_Valley_Airport,Alah Valley Airport,,,HN,Honduras,PH,Philippines,,,AE-FU,Al Fujayrah,
5866,SBAX,small_airport,Romeu Zema Airport,-19.5632,-46.96039963,3276,SA,Brazil,Minas Gerais,Araxá,yes,SBAX,AAX,,,http://en.wikipedia.org/wiki/Arax%C3%A1_Airport,,,,HK,Hong Kong,BR,Brazil,,,AE-RK,Ra�s al Khaymah,
30610,MGQZ,small_airport,Quezaltenango Airport,14.8656,-91.501999,7779,NA,Guatemala,Quetzaltenango,Quezaltenango,yes,MGQZ,AAZ,,,https://en.wikipedia.org/wiki/Quetzaltenango_Airport,"Los Altos Airport, Xelajú , Xela",,,HU,Hungary,GT,Guatemala,,,AE-SH,Ash Shariqah [Sharjah],
6503,UNAA,medium_airport,Abakan Airport,53.74000168,91.38500214,831,AS,Russian Federation,"Khakasiya, Respublika",Abakan,yes,UNAA,ABA,,,http://en.wikipedia.org/wiki/Abakan_Airport,,,,IS,Iceland,RU,Russian Federation,,,AE-UQ,Umm al Qaywayn,
300781,DNAS,medium_airport,Asaba International Airport,6.204167,6.665278,305,AF,Nigeria,Delta,Asaba,no,DNAS,ABB,,,http://en.wikipedia.org/wiki/Asaba_International_Airport,Onitsha,,,IN,India,NG,Nigeria,,,AF-BAL,Balkh,
3996,LEAB,medium_airport,Albacete-Los Llanos Airport,38.94850159,-1.863520026,2302,EU,Spain,,Albacete,yes,LEAB,ABC,,http://www.aena.es/csee/Satellite?cid=1046767815090&pagename=subHome&Language=EN_GB&SiteName=LEAB&c=Page,http://en.wikipedia.org/wiki/Albacete_Airport,Los Llanos Air Base,,,ID,Indonesia,ES,Spain,,,AF-BAM,Bamyan,
5130,OIAA,medium_airport,Abadan Airport,30.37109947,48.22829819,10,AS,Iran (Islamic Republic of),Khuzestan,Abadan,yes,OIAA,ABD,,,http://en.wikipedia.org/wiki/Abadan_Airport,,,,IR,Iran (Islamic Republic of),IR,Iran (Islamic Republic of),,,AF-BDG,Badghis,
3356,KABE,medium_airport,Lehigh Valley International Airport,40.65209961,-75.44080353,393,NA,United States of America,Pennsylvania,Allentown,yes,KABE,ABE,ABE,,http://en.wikipedia.org/wiki/Lehigh_Valley_International_Airport,,,,IQ,Iraq,US,United States of America,,,AF-BDS,Badakhshan,
30611,NGAB,small_airport,Abaiang Airport,1.798609972,173.0410004,,OC,Kiribati,Gilbert Islands,Abaiang,no,NGAB,ABF,,,,,,,IE,Ireland,KI,Kiribati,,,AF-BGL,Baghlan,
26890,YAPH,medium_airport,Alpha Airport,-23.646099,146.584,1255,OC,Australia,Queensland,Alpha,no,YAPH,ABH,,,https://en.wikipedia.org/wiki/Alpha_Airport,,,,IM,Isle of Man,AU,Australia,,,AF-DAY,Daykundi,
3357,KABI,medium_airport,Abilene Regional Airport,32.41130066,-99.68190002,1791,NA,United States of America,Texas,Abilene,yes,KABI,ABI,ABI,,http://en.wikipedia.org/wiki/Abilene_Regional_Airport,,,,IL,Israel,US,United States of America,,,AF-FRA,Farah,
